original_feature,feature_name,coefficient,abs_coefficient,p_value,confint_lb,confint_ub,pseudo_r2,individual_auc,individual_log_loss
medical_specialty,medical_specialty_Hospitalist,4.115318374202213e-05,4.115318374202213e-05,0.999898267101182,-0.6325677875530713,0.6326500939205553,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_InfectiousDiseases,0.00016668317808946677,0.00016668317808946677,0.9995954269157943,-0.6441332326858314,0.6444665990420103,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_InternalMedicine,-0.023095112277195615,0.023095112277195615,0.3327666277196779,-0.06983064581718357,0.023640421262792338,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Nephrology,0.03319536074983486,0.03319536074983486,0.5848516480734807,-0.0858985843273547,0.1522893058270244,0.0003868778009828988,0.5031116871072823,0.6928790173029727
medical_specialty,medical_specialty_Neurology,-0.2065331658708167,0.2065331658708167,0.28217406430229786,-0.5829351949652942,0.16986886322366082,0.0001242944446471217,0.500525250928924,0.6930610262160789
medical_specialty,medical_specialty_Neurophysiology,7.650835104407302e-05,7.650835104407302e-05,0.9999779325181566,-5.4217968710907645,5.421949887792852,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Obsterics&Gynecology-GynecologicOnco,-2.4175368072805868e-05,2.4175368072805868e-05,0.9999586370984106,-0.9140435574421565,0.913995206706011,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Obstetrics,-7.892749339155645e-06,7.892749339155645e-06,0.9999894037757924,-1.1648591656424694,1.164843380143791,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_ObstetricsandGynecology,-0.416931899971622,0.416931899971622,0.004961508830035655,-0.7077860746527056,-0.12607772529053834,0.0008396764704546866,0.5022952477559426,0.6925651611818671
medical_specialty,medical_specialty_Oncology,0.3276319180198322,0.3276319180198322,0.00609791391935377,0.09348546995428084,0.5617783660853836,0.00028605492451649894,0.501329586397588,0.6929489023955314
medical_specialty,medical_specialty_Ophthalmology,-0.00017798115362059765,0.00017798115362059765,0.9996698628505387,-0.8432659950819769,0.8429100327747358,0.0,0.5,0.6931471805599453
